HOTEL_NAME,CATEGORY,COMMUNITY,Parish,ADDRESS,Number of Rooms,Stars,Longitude,Latitude,Date_Visited,Room Rate
Hotel Versalles,Beach Hotel,May Pen,Clarendon,42 Longbridge Rd. May Pen P.O,26,3,-77.88358697,18.5168814,1-Oct-17,
Milk River MineraL Sp,Bed & Breakfast,Milk River,Clarendon,Milk River P.O.,25,2,-77.65670675,18.49632278,1-Jun-17,90
Round Hill Hotel,Beach Hotel,Hopewell,Hanover,Hopewell P.O. Box 64 Montego,25,5,-77.32492091,18.45668283,29-Jun-17,81
Grand Lido (All Inclu,Hotel,Negril,Hanover,"N.M. Boulevard, P.O. Box 88,",106,5,-77.92702595,"18.489067342,",5-Jun-17,120
Hedonism 2 (All Inclu,Hotel,Negril,Hanover,"N.M. Boulevard, P.O. Box 25,",120,5,-77.92247555,18.47015468,15-Nov-17,
Hotel Riu,Hotel,Negril,Hanover,Tropical Bay Bloody Bay Negri,40,4,-77.8974926,18.47606972,22-Jul-17,
Negril Gardens Beach,Hotel,Negril,Hanover,"N.M. Boulevard P.O. Box 3058,",25,3,-77.53779397,18.48487481,21-Sep-17,
Sandals Negril (All I,Hotel,Negril,Hanover,"N.M. Boulevard, P.O. Box 2 Ne",32,3,-77.31367934,18.452956,11-Sep-17,
Calabash Villa,Hotel,Sandy Bay,Hanover,"Tryall Beach, P.O. Box 1206",50,3,-78.33999559,18.33842233,7-Jun-17,100
Round House Villa,Hotel,Sandy Bay,Hanover,Tryall Beach,60,5,-77.32448742,18.46335583,11/17/2017,150
Coo - Yah,Hotel,Tryall,Hanover,"P.O. Box 1206, Montego Bay",25,3,-78.07632373,18.45109963,6/15/2017,
Hill Top Villas,Hotel,Tryall,Hanover,"c/o Tryall Villas, P.O. Box 1",26,3,-77.91597519,18.48622514,10/10/2017,125
Mahogany Hill,Beach Hotel,Tryall,Hanover,"P.O. Box 1206, Montego Bay P.",60,3,-77.82299287,18.5221655,21/06/2017,120
Tryall Golf & Tennis,Hotel,Tryall,Hanover,P.O. Box 1206,66,4,-77.04222765,"18.420575152,",8/7/2017,110
Hotel Four Seasons,Hotel,Kingston 10,Kingston,18 Ruthven Road,75,3,-77.90408323,18.3638987,23/09/2017,120
Terra Nova Hotel,Hotel,Kingston 10,Kingston,17 Waterloo Road,23,3,-77.09129557,"18.40273275,0",5/7/2017,140
Alhambra Inn,Hotel,Kingston 3,Kingston,1 Tucker Avenue,25,3,-78.36661595,18.26627378,8/6/2017,110
Christar Villas Limit,Hotel,Kingston 5,Kingston,99a Hope Road,15,3,-78.33630812,18.32306646,1-Oct-17,
Knutsford Court Hotel,Hotel,Kingston 5,Kingston,16 Chelsea Avenue,30,3,-77.86343833,18.51327272,1-Jun-17,
Hotel Villa bella,Hotel,Christiana,Manchester,Sedburgh,25,2,-77.88215213,18.51416611,29-Jun-17,
Golf View Hotel,Hotel,Mandeville,Manchester,5 Caledonia Rd. Mandeville.,50,3,-77.92723052,"18.479029963,",5-Jun-17,
Mandeville Hotel,Hotel,Mandeville,Manchester,"4 Hotel Street, Mandeville",26,3,-77.806003,18.51630923,15-Nov-17,
Imani Ashi Villa,Bed & Breakfast,Ironshore,Montego Ba,190 Patterson Avenue,25,2,-77.87976148,18.5193639,22-Jul-17,
Villa Dee Phil,Bed & Breakfast,Ironshore,Montego Ba,"136 Patterson Avenue, P.O. Bo",25,5,-77.01130843,18.40266188,21-Sep-17,
Golden Acres Villa,Hotel,Race Course,Oracabessa,"P.O. Box 332, Ocho Rios P.O.",106,5,-77.92849911,18.48085297,11-Sep-17,
Turtle Cove,Bed & Breakfast,Drapers,Portland,,120,5,-77.04187062,18.4215197,7-Jun-17,
Paradise Inn,Hotel,Fairy Hill,Portland,Snow Hill,40,4,-77.52905916,18.48354377,11/17/2017,
Sea Cliff Resort,Beach Hotel,Long Bay,Portland,,25,3,-77.22271665,18.44522539,6/15/2017,
Dragon Bay,Beach Hotel,Port Antonio,Portland,Zion Hill P.O. Box176,32,3,-78.05513842,18.44523438,10/10/2017,
Frenchman's Cove Vill,Bed & Breakfast,Port Antonio,Portland,Frenchman's Cove P.O. Box 101,50,3,-77.94542677,18.44471515,21/06/2017,
Goblin Hill Villas,Hotel,Port Antonio,Portland,"San San , Port Antonio P.O. B",60,5,-77.92851408,18.4836947,8/7/2017,
Jamaica Palace Hotel,Hotel,Port Antonio,Portland,P.O. Box 277 Port antonio,25,3,-77.87292191,18.50500371,23/09/2017,
Mocking Bird Hill,Bed & Breakfast,Port Antonio,Portland,Drapers P.O. Box 254 Port Ant,26,3,-77.6139265,17.90717093,5/7/2017,
Panorama Villa,Bed & Breakfast,Port Antonio,Portland,San San,60,3,-77.52969638,18.483349,8/6/2017,
Trident Hotel,Hotel,Port Antonio,Portland,P.O. Box 119 Port Antonio,66,4,-77.04593754,18.42293441,1-Oct-17,
Deja Vu,Beach Hotel,San San,Portland,San San,75,3,-78.05758466,18.45179294,1-Jun-17,
Navy Island Marina Re,Beach Hotel,,Portland,Port Antonio P.O. Box 188,23,3,-77.53869715,18.48185783,29-Jun-17,
Almond Tree,Bed & Breakfast,Mammee Bay,St Ann,Arawak P.O. Box 332,25,3,-78.36654386,18.26398372,5-Jun-17,
Hikaru Villa,Bed & Breakfast,Billy's Bay,St Elizabe,Billy's Bay P.O.,15,3,-77.91776178,18.47086694,15-Nov-17,
Chukka Cove Villas,Hotel,Laughlands,St. Ann,Laughlands P.O. Box 160,30,3,-78.33364914,18.34774747,22-Jul-17,
Blue Waters,Beach Hotel,Mammee Bay,St. Ann,Old Fort Bay,25,2,-78.34567204,"18.278108393,",21-Sep-17,
Casa Blanca,Beach Hotel,Mammee Bay,St. Ann,Arawak P.O. 305,50,3,-78.33825694,18.30155184,11-Sep-17,
Terra Nova,Hotel,Mammee Bay,St. Ann,Arawak P.O.,26,3,-77.09215451,18.41244882,7-Jun-17,
Beaches Grande Sport,Beach Hotel,Ocho Rios,St. Ann,Main Street Ocho Rios,25,2,-78.36037344,18.24775033,11/17/2017,
Beaches Royal Plantat,Beach Hotel,Ocho Rios,St. Ann,Main St. P.O. Box 2 Ocho Rios,25,5,-78.35951595,"18.248423102,",6/15/2017,
Couples Ocho Rios,Beach Hotel,Ocho Rios,St. Ann,Tower Isle Ocho Rios P.O. Box,106,5,-78.06120085,18.44447722,10/10/2017,
Golden Sands 1-3,Beach Hotel,Ocho Rios,St. Ann,"Old Road, P.O. Box 22",120,5,-77.92814059,18.4802796,21/06/2017,
Jamaica Grande,Hotel,Ocho Rios,St. Ann,P.O Box 100 Ocho Rios,40,4,-77.87421588,18.50299084,8/7/2017,
Jamaica Inn Hotel,Hotel,Ocho Rios,St. Ann,P.O. Box 1 Ocho Rios P.O.,25,3,-77.8732642,18.50390742,23/09/2017,
San Souci Lido (All I,Beach Hotel,Ocho Rios,St. Ann,Ocho Rios P.O. Box 103,32,3,-77.31692631,18.46994631,5/7/2017,
Sand Castles,Beach Hotel,Ocho Rios,St. Ann,Main St. Ocho Rios P.O.,50,3,-77.31556005,18.45302423,8/6/2017,
Sandals Dunns River,Hotel,Ocho Rios,St. Ann,Mammee Bay,60,5,-77.31448199,18.45361419,1-Oct-17,
Sandals Ocho Rios (Al,Hotel,Ocho Rios,St. Ann,Main St. Ocho Rios P.O.,25,3,-77.31345597,18.46691662,1-Jun-17,
Silver Seas,Beach Hotel,Ocho Rios,St. Ann,66 James Ave. P.O. Box 81.,26,3,-77.11195293,18.40386349,29-Jun-17,
"""Las Palmas""",Bed & Breakfast,Runaway Bay,St. Ann,,60,3,-78.36851404,18.27004435,5-Jun-17,
Breezes Runaway Bay,Beach Hotel,Runaway Bay,St. Ann,P.O. Box 58 Runaway Bay,66,4,-78.34209612,18.27641665,15-Nov-17,
Hedonism 3,Beach Hotel,Runaway BAy,St. Ann,P.O. Box 250 Runaway Bay,75,3,-77.92221369,18.47695465,22-Jul-17,
Spanish Cove,Hotel,Runaway Bay,St. Ann,P.O. Box 322,23,3,-77.1076652,18.40434937,21-Sep-17,
Sunflower Villas,Hotel,Runaway Bay,St. Ann,"Salem, P.O. Box 150",25,3,-77.10247526,18.39910437,11-Sep-17,
Villa Xanadu,Hotel,Runaway Bay,St. Ann,"Edward Avenue, P.O. Box 524",15,3,-76.9434736,18.40363158,7-Jun-17,
Caribbean Isle Hotel,Hotel,St. Ann's Bay,St. Ann,P.O. Box 119,30,3,-78.33889182,"18.297031729,",11/17/2017,
Club Jamaica,Hotel,St. Ann's Bay,St. Ann,"Main Street, P.O. Box 342",25,2,-78.19739667,18.45314008,6/15/2017,
Enchanted Gardens Hot,Beach Hotel,St. Ann's Bay,St. Ann,P.O. Box 284,50,3,-78.05087563,18.44763128,10/10/2017,
Shaw Park Beach Hotel,Beach Hotel,Ocho Rios,St. Ann,Ocho Rios P.O. Box 17,26,3,-77.15880628,18.42554983,21/06/2017,
Arizon Inn,Beach Hotel,Port Henderson,St. Cather,Lot 8 Block M,25,2,-78.36551985,"18.262900877,",8/7/2017,
Knolford Polo Ranch,Beach Hotel,Riversdale,St. Cather,"c/o 12 Trinidad Terrace, Kgn",25,5,-77.86352293,18.51895847,23/09/2017,
Waterloo Guest House,Bed & Breakfast,Black River,St. Elizab,"44 High Street, Black River P",106,5,-76.8949617,18.39286884,5/7/2017,
Bucaneer Villa,Bed & Breakfast,Calabash Bay,St. Elizab,Calabash Bay P.A.,120,5,-78.3413571,18.27815675,8/6/2017,
Sunset Beach Resort,Beach Hotel,Calabash Bay,St. Elizab,"Calabash Bay, Calabash P.A.",40,4,-77.09980753,18.40807983,1-Oct-17,
Comfort Villa,Bed & Breakfast,Junction,St. Elizab,Junction P.O.,25,3,-78.07761468,18.45056937,1-Jun-17,
Seaview Villa,Beach Hotel,Southfield,St. Elizab,"Seaview District, Southfield",32,3,-77.1630286,18.42680176,29-Jun-17,
Golden Sands Guest Ho,Beach Hotel,Treasure Beach,St. Elizab,Frenchman's District,50,3,-77.92809027,18.48033824,5-Jun-17,
Treasure Beach Hotel,Beach Hotel,Treasure Beach,St. Elizab,P.O. Box 5 Black River,60,5,-77.05430637,"18.402445676,",15-Nov-17,
Royal Reef Hotel,Bed & Breakfast,Greenwood,St. James,Lot 99 P.O. Box 10 Greenwood,25,3,-77.32268215,18.45837565,22-Jul-17,
Blue Horizon,Bed & Breakfast,Ironshore,St. James,Lot 388 Fielding Avenue,26,3,-78.34626865,18.2746167,21-Sep-17,
Gemini Villa,Bed & Breakfast,Ironshore,St. James,459 Donchester Drive,60,3,-77.9414145,18.45911903,11-Sep-17,
Graceville,Beach Hotel,Ironshore,St. James,"299 Charles Avenue, White San",66,4,-77.9271554,18.48924415,7-Jun-17,
Coyaba Beach Resort,Bed & Breakfast,Montego Bay,St. James,"Mahoe Bay, Little River P.O.",75,3,-78.06098517,"18.445386007,",11/17/2017,
Doctors Cave Beach,Beach Hotel,Montego Bay,St. James,Gloucester Ave P.O. Box 94,23,3,-78.05595374,18.44739184,6/15/2017,
Gloucestershire Hotel,Hotel,Montego Bay,St. James,Gloucester Ave P.O. Box 86,25,3,-77.92867598,18.48188096,10/10/2017,
Half Moon,Hotel,Montego Bay,St. James,"Rose Hall, P.O. Box 80",15,3,-77.92410487,18.4737547,21/06/2017,
Hotel Gloriana,Bed & Breakfast,Montego Bay,St. James,2 Sunset Blvd,30,3,-77.90339778,18.51052435,8/7/2017,
Hotel Montego,Hotel,Montego Bay,St. James,2 Federal Ave P.O. Box 74,25,2,-77.90217438,18.25461693,23/09/2017,
Jack Tar Village (All,Hotel,Montego Bay,St. James,2Gloucester Ave P.O. Box 114,50,3,-77.87597557,"18.505698512,",5/7/2017,
Jamaica Grandiosa Res,Hotel,Montego Bay,St. James,3 Ramparts Close P.O. Box 139,26,3,-77.87399176,18.50531824,8/6/2017,
Sandals Inn (All Incl,Hotel,Montego Bay,St. James,Kent Ave P.O. Box 412,25,2,-77.31409796,18.45148959,1-Oct-17,
Sandals Montego Bay (,Hotel,Montego Bay,St. James,Kent Ave P.O. Box 100,25,5,-77.31404947,18.44816636,1-Jun-17,
Sandals Royal Jamaica,Hotel,Montego Bay,St. James,P.O. 167 Montego Bay,106,5,-77.31309527,18.45132952,29-Jun-17,
Sea Castle Resort,Hotel,Montego Bay,st. James,Rose Hall P.O. Box 55,120,5,-77.30062706,18.46867124,5-Jun-17,
Silent Waters Villa,Hotel,Montego Bay,St. James,River Lot Road,40,4,-77.14163223,18.37077641,15-Nov-17,
